"UID","Xsugg","Ysugg","Type"
"8065-2155-V-4",708067.40,3972153.90,"vacuum"
"8105-2385-V-1",708104.30,3972380.00,"vacuum"
"8105-2385-V-2",708109.80,3972384.90,"vacuum"
"8105-2425-V-3",708102.80,3972422.70,"vacuum"
"7935-2135-V-5",707935.90,3972137.70,"vacuum"
"7965-2145-V-1",707967.50,3972144.00,"vacuum"
"7965-2155-V-24",707969.10,3972158.90,"vacuum"
"7965-2155-V-25",707966.20,3972152.70,"vacuum"
"7965-2155-V-26",707967.00,3972155.70,"vacuum"
"7965-2155-V-27",707961.40,3972153.20,"vacuum"
"7965-2155-V-28",707968.60,3972154.50,"vacuum"
"7965-2155-V-29",707963.30,3972157.50,"vacuum"
"7965-2155-V-30",707961.80,3972159.70,"vacuum"
"7965-2155-V-31",707963.40,3972152.70,"vacuum"
"7965-2155-V-44",707961.30,3972159.50,"vacuum"
"7965-2165-V-3",707963.00,3972161.80,"vacuum"
"7965-2175-V-3",707961.90,3972170.70,"vacuum"
"6515-3265-V-34",706515.90,3973265.00,"vacuum"
"6525-3255-V-6",706526.90,3973256.60,"vacuum"
"6525-3265-V-39",706529.30,3973264.10,"vacuum"
"6755-1465-V-4",706758.10,3971467.90,"vacuum"
"6265-2435-V-6",706265.20,3972431.80,"vacuum"
"6275-2425-V-15",706274.50,3972424.00,"vacuum"
"7715-1975-V-10",707712.40,3971971.30,"vacuum"
"7715-1975-V-6",707718.00,3971975.40,"vacuum"
"7715-1975-V-9",707710.20,3971970.10,"vacuum"
"7725-1985-V-12",707725.40,3971988.20,"vacuum"
"7735-1955-V-17",707735.50,3971952.40,"vacuum"
"7755-1945-V-1",707750.30,3971940.70,"vacuum"
"7755-1955-V-4",707756.90,3971951.20,"vacuum"
"7755-1975-S-12",707753.10,3971976.80,"square"
"7755-1915-V-6",707758.60,3971912.80,"vacuum"
"7765-1895-V-2",707769.80,3971895.70,"vacuum"
"7765-1905-V-3",707760.50,3971908.80,"vacuum"
"7775-1915-V-9",707778.60,3971919.40,"vacuum"
"7785-1905-V-13",707785.30,3971905.60,"vacuum"
"7785-1915-V-12",707785.20,3971918.20,"vacuum"
"7785-1915-V-13",707789.70,3971915.90,"vacuum"
"7795-1855-V-7",707795.30,3971859.80,"vacuum"
"7795-1875-V-8",707792.80,3971877.10,"vacuum"
"7795-1905-V-18",707794.60,3971904.80,"vacuum"
"7795-1905-V-19",707797.80,3971909.10,"vacuum"
"7805-1885-V-8",707801.10,3971880.40,"vacuum"
"7815-1855-V-3",707812.70,3971854.70,"vacuum"
"7825-1845-S-2",707827.10,3971844.70,"square"
"7825-1855-V-4",707826.80,3971850.70,"vacuum"
"7835-1855-V-2",707830.70,3971850.40,"vacuum"
"7835-1865-V-23",707839.00,3971860.50,"vacuum"
"7835-1865-V-24",707834.20,3971860.00,"vacuum"
"7835-1865-V-25",707832.10,3971867.70,"vacuum"
"7835-1885-V-45",707837.30,3971883.70,"vacuum"
"7835-1885-V-46",707834.50,3971881.20,"vacuum"
"7835-1885-V-47",707838.70,3971880.90,"vacuum"
"7835-1885-V-48",707831.70,3971881.90,"vacuum"
"7835-1885-V-49",707833.10,3971881.50,"vacuum"
"7835-1885-V-50",707837.10,3971887.40,"vacuum"
"7835-1885-V-51",707833.40,3971888.30,"vacuum"
"7845-1885-V-10",707848.70,3971885.90,"vacuum"
"9575-0085-V-5",709576.20,3970089.70,"vacuum"
"7845-1575-V-10",707841.80,3971577.30,"vacuum"
"7845-1575-V-8",707848.40,3971579.30,"vacuum"
"7845-1575-V-9",707849.40,3971574.70,"vacuum"
"7855-1485-V-2",707851.80,3971484.30,"vacuum"
"7855-1565-V-3",707852.60,3971566.10,"vacuum"
"7895-1505-V-6",707897.10,3971503.70,"vacuum"
"7895-1505-V-9",707891.00,3971503.80,"vacuum"
"8105-1695-V-2",708107.90,3971691.40,"vacuum"
"8105-1695-V-3",708105.10,3971695.60,"vacuum"
"8115-1665-V-5",708119.10,3971663.80,"vacuum"
"8115-1675-V-4",708118.20,3971672.40,"vacuum"
"8115-1685-V-3",708111.80,3971683.70,"vacuum"
"8115-1695-V-6",708114.00,3971693.80,"vacuum"
"8115-1695-V-7",708114.10,3971691.30,"vacuum"
"8115-1695-V-8",708117.00,3971696.80,"vacuum"
"6765-2255-V-4",706769.10,3972258.00,"vacuum"
"6765-2275-S-6",706769.20,3972276.60,"square"
"6775-2215-V-3",706778.00,3972215.50,"vacuum"
"1039-6-1-5-1",706718.90,3973067.00,"tract"
"9035-0805-V-6",709037.40,3970802.20,"vacuum"
"9035-0805-V-7",709031.00,3970804.40,"vacuum"
"9075-0825-S-3",709075.10,3970827.60,"square"
"8425-2065-V-11",708429.70,3972061.00,"vacuum"
"8425-2065-V-12",708422.80,3972065.70,"vacuum"
"8075-2155-V-3",708077.10,3972152.80,"vacuum"
"3637-2-2-5-1",708528.60,3970615.70,"tract"
"7945-2135-S-1",707941.30,3972135.60,"square"
"11080-50-1-25-1",707597.00,3971342.40,"tract"
"4049-17-1-65-1",706534.60,3972659.70,"tract"
"4254-14-1-55-1",706963.00,3972176.50,"tract"
"6047-2-1-65-1",708114.30,3971705.80,"tract"
"8825-9935-S-2",708829.10,3969939.80,"square"
"6805-2245-V-6",706800.10,3972243.50,"vacuum"
"6645-2895-S-2",706647.30,3972894.70,"square"
"8035-2195-S-1",708032.50,3972192.10,"square"
"8045-2185-S-2",708045.10,3972185.60,"square"
"8055-2225-S-3",708054.60,3972226.50,"square"
"7955-2155-S-2",707954.30,3972156.90,"square"
"6525-3235-S-1",706527.00,3973231.50,"square"
"6685-1485-V-5",706686.20,3971482.90,"vacuum"
"6705-1495-V-7",706708.80,3971499.30,"vacuum"
"6705-1495-V-8",706706.30,3971493.20,"vacuum"
"6725-1485-S-6",706728.40,3971481.20,"square"
"6725-1505-V-2",706722.20,3971503.50,"vacuum"
"6735-1495-V-14",706735.00,3971496.20,"vacuum"
"6745-1465-S-2",706748.70,3971468.00,"square"
"6745-1475-S-9",706741.00,3971478.70,"square"
"6745-1495-V-14",706742.00,3971497.50,"vacuum"
"6745-1495-V-18",706743.10,3971490.80,"vacuum"
"6755-1465-V-10",706753.20,3971468.30,"vacuum"
"6765-1465-V-5",706768.30,3971469.80,"vacuum"
"6765-1505-V-8",706760.20,3971504.60,"vacuum"
"7755-1975-S-2",707752.80,3971975.90,"square"
"7835-1845-V-1",707832.20,3971840.10,"vacuum"
"7885-1505-V-1",707888.10,3971507.30,"vacuum"
